playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,ASNextYear
aaronha01,1973,120,392.0,84.0,118.0,12.0,1.0,40.0,96.0,1.0,68.0,51.0,13.0,1.0
ageeto01,1973,83,204.0,30.0,48.0,5.0,2.0,8.0,15.0,2.0,16.0,55.0,1.0,0.0
allendi01,1973,72,250.0,39.0,79.0,20.0,3.0,16.0,41.0,7.0,33.0,51.0,3.0,1.0
alomasa01,1973,136,470.0,45.0,112.0,7.0,1.0,0.0,28.0,25.0,34.0,44.0,1.0,0.0
aloufe01,1973,93,280.0,25.0,66.0,12.0,0.0,4.0,27.0,0.0,9.0,25.0,5.0,0.0
alouma01,1973,123,497.0,59.0,147.0,22.0,1.0,2.0,28.0,5.0,30.0,43.0,0.0,0.0
alvarlu01,1973,80,203.0,21.0,47.0,7.0,2.0,0.0,20.0,6.0,4.0,20.0,0.0,0.0
aparilu01,1973,132,499.0,56.0,135.0,17.0,1.0,0.0,49.0,13.0,43.0,33.0,1.0,0.0
bailebo01,1973,151,513.0,77.0,140.0,25.0,4.0,26.0,86.0,5.0,88.0,99.0,10.0,0.0
bakerdu01,1973,159,604.0,101.0,174.0,29.0,4.0,21.0,99.0,24.0,67.0,72.0,8.0,0.0
bandosa01,1973,162,592.0,97.0,170.0,32.0,3.0,29.0,98.0,4.0,82.0,84.0,5.0,0.0
baylodo01,1973,118,405.0,64.0,116.0,20.0,4.0,11.0,51.0,32.0,35.0,48.0,3.0,0.0
beckegl01,1973,114,372.0,38.0,95.0,13.0,0.0,0.0,29.0,0.0,30.0,15.0,1.0,0.0
belanma01,1973,154,470.0,60.0,106.0,15.0,1.0,0.0,27.0,13.0,49.0,54.0,1.0,0.0
bellbu01,1973,156,631.0,86.0,169.0,23.0,7.0,14.0,59.0,7.0,49.0,47.0,2.0,0.0
benchjo01,1973,152,557.0,83.0,141.0,17.0,3.0,25.0,104.0,4.0,83.0,83.0,14.0,1.0
berryke01,1973,137,415.0,48.0,118.0,11.0,2.0,3.0,36.0,1.0,26.0,50.0,0.0,0.0
bevacku01,1973,99,276.0,39.0,71.0,8.0,3.0,2.0,40.0,2.0,25.0,42.0,1.0,0.0
biittla01,1973,83,258.0,19.0,65.0,8.0,2.0,1.0,12.0,1.0,20.0,21.0,0.0,0.0
billidi01,1973,81,280.0,17.0,50.0,11.0,0.0,3.0,32.0,1.0,20.0,43.0,2.0,0.0
blairpa01,1973,146,500.0,73.0,140.0,25.0,3.0,10.0,64.0,18.0,43.0,72.0,4.0,0.0
blombro01,1973,100,301.0,45.0,99.0,13.0,1.0,12.0,57.0,2.0,34.0,25.0,4.0,0.0
boccajo01,1973,118,403.0,25.0,94.0,13.0,0.0,7.0,46.0,1.0,26.0,57.0,8.0,0.0
bondsbo01,1973,160,643.0,131.0,182.0,34.0,4.0,39.0,96.0,43.0,87.0,148.0,9.0,0.0
boonebo01,1973,145,521.0,42.0,136.0,20.0,2.0,10.0,61.0,3.0,41.0,36.0,8.0,0.0
bowala01,1973,122,446.0,42.0,94.0,11.0,3.0,0.0,23.0,10.0,24.0,31.0,8.0,1.0
braunst01,1973,115,361.0,46.0,102.0,28.0,5.0,6.0,42.0,4.0,74.0,48.0,8.0,0.0
breedha01,1973,105,258.0,36.0,71.0,10.0,6.0,15.0,43.0,0.0,29.0,45.0,3.0,0.0
briggjo02,1973,142,488.0,78.0,120.0,20.0,7.0,18.0,57.0,15.0,87.0,83.0,6.0,0.0
brinked01,1973,162,515.0,55.0,122.0,16.0,4.0,7.0,40.0,0.0,34.0,79.0,1.0,0.0
brocklo01,1973,160,650.0,110.0,193.0,29.0,8.0,7.0,63.0,70.0,71.0,112.0,15.0,0.0
brohaja01,1973,102,300.0,29.0,66.0,12.0,1.0,4.0,29.0,0.0,32.0,23.0,3.0,0.0
brownga01,1973,125,377.0,48.0,89.0,11.0,1.0,12.0,50.0,1.0,52.0,41.0,6.0,0.0
brownol02,1973,97,296.0,28.0,83.0,10.0,1.0,7.0,32.0,4.0,33.0,53.0,1.0,0.0
bryest01,1973,92,278.0,39.0,73.0,9.0,5.0,6.0,33.0,3.0,35.0,43.0,1.0,0.0
bucknbi01,1973,140,575.0,68.0,158.0,20.0,0.0,8.0,46.0,12.0,17.0,34.0,5.0,0.0
bumbral01,1973,110,356.0,73.0,120.0,15.0,11.0,7.0,34.0,23.0,34.0,49.0,0.0,0.0
burroje01,1973,151,526.0,71.0,147.0,17.0,1.0,30.0,85.0,0.0,67.0,88.0,3.0,1.0
campabe01,1973,151,601.0,89.0,150.0,17.0,6.0,4.0,46.0,34.0,50.0,79.0,1.0,1.0
carbobe01,1973,111,308.0,42.0,88.0,18.0,0.0,8.0,40.0,2.0,58.0,52.0,7.0,0.0
cardejo02,1973,145,522.0,80.0,158.0,33.0,2.0,11.0,68.0,19.0,58.0,62.0,9.0,0.0
carewro01,1973,149,580.0,98.0,203.0,30.0,11.0,6.0,62.0,41.0,62.0,55.0,9.0,1.0
cartyri01,1973,86,306.0,24.0,71.0,12.0,0.0,3.0,33.0,2.0,36.0,39.0,2.0,0.0
casanpa01,1973,82,236.0,18.0,51.0,7.0,0.0,7.0,18.0,0.0,11.0,36.0,3.0,0.0
cashda01,1973,116,436.0,59.0,118.0,21.0,2.0,2.0,31.0,2.0,38.0,36.0,0.0,0.0
cashno01,1973,121,363.0,51.0,95.0,19.0,0.0,19.0,40.0,1.0,47.0,73.0,7.0,0.0
cedence01,1973,139,525.0,86.0,168.0,35.0,2.0,25.0,70.0,56.0,41.0,79.0,7.0,0.0
cepedor01,1973,142,550.0,51.0,159.0,25.0,0.0,20.0,86.0,0.0,50.0,81.0,13.0,0.0
ceyro01,1973,152,507.0,60.0,124.0,18.0,4.0,15.0,80.0,1.0,74.0,77.0,7.0,1.0
chambch01,1973,155,572.0,70.0,156.0,30.0,2.0,11.0,53.0,4.0,58.0,76.0,8.0,0.0
chaneda01,1973,105,227.0,27.0,41.0,7.0,1.0,0.0,14.0,4.0,26.0,50.0,5.0,0.0
clarkho01,1973,148,590.0,60.0,155.0,21.0,0.0,2.0,35.0,11.0,47.0,48.0,0.0,0.0
clinege01,1973,110,304.0,42.0,80.0,11.0,3.0,1.0,23.0,8.0,26.0,36.0,0.0,0.0
coggiri01,1973,110,389.0,54.0,124.0,19.0,9.0,7.0,41.0,17.0,28.0,24.0,2.0,0.0
colbena01,1973,145,529.0,73.0,143.0,25.0,2.0,22.0,80.0,9.0,54.0,146.0,9.0,0.0
colucbo01,1973,124,438.0,65.0,98.0,21.0,8.0,15.0,58.0,13.0,54.0,92.0,2.0,0.0
conceda01,1973,89,328.0,39.0,94.0,18.0,3.0,8.0,46.0,22.0,21.0,55.0,3.0,0.0
crawfwi01,1973,145,457.0,75.0,135.0,26.0,2.0,14.0,66.0,12.0,78.0,91.0,12.0,0.0
cruzjo01,1973,132,406.0,51.0,92.0,22.0,5.0,10.0,57.0,10.0,51.0,66.0,4.0,0.0
